Empresa;CUIT;Expte;Calle;Nro;Piso;Dpto;CPA;Localidad;Provincia;Telefono;RegComercializacion;RegFabricacion;Dispo;FechaDispo;Vence
OMNITRACS S.A.;30-69231917-2;EXPCNC E 11020/1998;BELGRANO;3294;          ;    ;1611;DON TORCUATO;BUENOS AIRES;(011  )9999-9999;30-2067;0;635 GI/2015;05/03/2015;05/03/2018
OMNITRACS S.A.;30-69231917-2;EXPCNC E 11020/1998;CORRIENTES;345;          ;    ;C1043AAD;CABA;CIUDAD DE BUENOS AIRES;(011  )9999-9999;30-2067;0;635 GI/2015;05/03/2015;05/03/2018
OMNITRONIC SOCIEDAD ANONIMA;30-65502325-5;EXPENACOM 2348/2016;11 DE SEPTIEMBRE;2633;10;1;1428;CABA;CIUDAD DE BUENOS AIRES;;30-2180;0;2034 ENACOM/2016;29/04/2016;29/04/2019
OMNITRONIC SOCIEDAD ANONIMA;30-65502325-5;EXPENACOM 2348/2016;GRAL. JOSE DE SAN MARTIN SUR;36;1;    ;M5501ACN;GODOY CRUZ;MENDOZA;(0261 )422 -0359;30-2180;0;2034 ENACOM/2016;29/04/2016;29/04/2019
OMRON ELECTRONICS LLC. SUCURSAL ARGENTIN;30-69728776-7;EX- -APN-REYS#ENACOM 119155732/2025;SAN MARTIN;140;18;    ;1004;CABA;CIUDAD DE BUENOS AIRES;(011  )5365-8355;30-3050;0;3288 APN-DNLAYR#ENACOM/2025;07/11/2025;07/11/2028
OMT S.R.L.;30-71517110-0;EXPENACOM 6595/2016;AVDA. CORRIENTES;2143;4°        ;D   ;C1045AAD;CABA;CIUDAD DE BUENOS AIRES;(011  )4952-2409;30-2836;0;2515 APN-DNLAYR#ENACOM/2025;29/10/2025;29/10/2028
OMT S.R.L.;30-71517110-0;EXPENACOM 6595/2016;URUGUAY;467;          ;    ;U9020CSI;SARMIENTO;CHUBUT;(0297 )418 -1666;30-2836;0;2515 APN-DNLAYR#ENACOM/2025;29/10/2025;29/10/2028
ONITY S.A.;30-70758489-7;EXPENACOM 4801/2016;CARLOS PELEGRINI;961;3;    ;C1009ABS;CABA;CIUDAD DE BUENOS AIRES;(011  )4309-9500;30-2222;0;6596 -E-APN-ENACOM#MCO/2016;02/09/2016;02/09/2019
OPTIVOZ S.A.;30-70851598-8;EXPCNC 4249/2008;AMENABAR JOSE DE;23;          ;    ;C1426AIA;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1696;0;1986 GI/2008;03/06/2008;03/06/2011
OPTIVOZ S.A.;30-70851598-8;EXPCNC 4249/2008;TUCUMAN;540;10;B   ;C1049AAL;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )5022-8435;30-1696;0;1986 GI/2008;03/06/2008;03/06/2011
OPTYTEK S.R.L.;30-71624603-1;EX- -APN-REYS#ENACOM 60777389/2024;JORGE LUIS BORGUES;489;          ;    ;5151;LA CALERA;CORDOBA;(0351 )272 -3174;30-2953;0;6979 APN-REYS#ENACOM/2024;26/07/2024;26/07/2027
ORBCOMM DE ARGENTINA S.A.;30-71087113-9;EX- -APN-SDYME#ENACOM 26548797/2018;ELPIDIO GONZALEZ;2706;6;B   ;1416;CIUDAD DE BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-3124;0;1918 APN-DNAYRT#ENACOM/2022;31/03/2022;31/03/2025
ORBITH S.A.;30-71553907-8;EX- -APN-SDYME#ENACOM 36049100/2018;ARISTOBULO DEL VALLE;1257;1;    ;C1295ADE;CABA;CIUDAD DE BUENOS AIRES;(011  )3656-1100;30-2767;0;129 APN-DNAYRT#ENACOM/2022;07/02/2022;07/02/2025
ORICA ARGENTINA S.A.I.C.;30-68624174-9;EXPCNC 288/2008;25 DE MAYO;749;1;3;C1002ABO;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1685;0;1665 GI/2011;20/05/2011;20/05/2014
ORUX S.A.;30-70887966-1;EXPCNC 930/2005;AVDA. BERNARDINO RIVADAVIA;3238;3;A   ;C1203AAR;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4773-1452;30-1514;0;997 GI/2005;28/02/2005;28/02/2008
ORVA ELECTRONICA S.R.L.;00-00002388-0;;JOSE BONIFACIO;2445;          ;    ;1406;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;;30-814;02-371;4205 SU/1986;28/10/1986;28/10/1989
OSRAM S.A.;30-71519761-4;EX- -APN-SDYME#ENACOM 29295855/2017;FONDO DE LA LEGUA;1044;2;C   ;1640;MARTINEZ;BUENOS AIRES;(011  )5808-4656;30-2412;0;1344 APN-DNAYRT#ENACOM/2018;13/03/2018;13/03/2021
OSRAM S.A.;30-71519761-4;EX- -APN-SDYME#ENACOM 29295855/2017;LAVALLE;1473;3;301;C1048AAI;CABA;CIUDAD DE BUENOS AIRES;;30-2412;0;1344 APN-DNAYRT#ENACOM/2018;13/03/2018;13/03/2021
OTIS (ARGENTINA) S.A.;30-51696072-4;EX- -APN-REYS#ENACOM 73218356/2020;LUJAN;2902;PB        ;    ;C1294ACL;CABA;CIUDAD DE BUENOS AIRES;(011  )6274-8430;30-2661;0;4506 APN-DNAYRT#ENACOM/2020;11/11/2020;11/11/2023
OTTO BOCK ARGENTINA S.A.;30-70708019-8;EX- -APN-REYS#ENACOM 51845255/2023;ADOLFO ALSINA;1746;          ;    ;1088;CABA;CIUDAD DE BUENOS AIRES;(011  )5368-6362;30-2865;02-645;4894 -APN-DNAYRT#ENACOM/2023;19/05/2023;19/05/2026
PADTEC S.A.;30-71066796-5;EXPCNC 4028/2010;MOREAU DE JUSTO ALICIA;1848;1;1;C1107AFL;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )5272-2010;30-1948;0;3983 GI/2013;08/10/2013;08/10/2016
PAMPA SERVICES S.R.L.;30-71536026-4;EX- -APN-SDYME#ENACOM 5870786/2018;LA PAMPA;2075;18;B   ;1428;CABA;CIUDAD DE BUENOS AIRES;(011  )3045-3045;30-2884;0;6972 APN-DNAYRT#ENACOM/2023;29/08/2023;01/01/2099
PANASONIC ARGENTINA S.A.;30-61380181-9;EXPCNC E 2582/1998;MANUEL GARCIA;352;          ;    ;1284;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4308-1610;30-1002;0;1739 GI/1998;06/04/1998;06/04/2001
PANASONIC DO BRASIL LIMITADA SUCURSAL ARGENTINA;30-70829025-0;EXPCNC 2988/2003;MANUEL GARCIA;352;          ;    ;C1284ACH;CABA;CIUDAD DE BUENOS AIRES;(011  )4122-7200;30-2454;02-579;5061 APN-DNAYRT#ENACOM/2018;17/09/2018;17/09/2021
PANTECH ARGENTINA S.A.;30-70934322-6;EXPCNC 7848/2005;CHACABUCO BAT DE;361;5;E   ;C1069AAG;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4342-1230;30-1548;0;4176 GI/2005;21/10/2005;21/10/2008
PARALLEL S.A.;30-57921525-5;EXPCNC 6173/2009;CORRIENTES;316;1;151;C1043AAQ;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4732-3232;30-1744;0;2620 GI/2009;27/07/2009;27/07/2012
PARALLEL S.A.;30-57921525-5;EXPCNC 6173/2009;DEL LIBERTADOR;15400;          ;    ;B1642CKN;SAN ISIDRO;BUENOS AIRES;(011  )4732-3232;30-1744;0;2620 GI/2009;27/07/2009;27/07/2012
PARKER HANNIFIN ARGENTINA SOCIEDAD ANONIMA INDUSTRIAL Y COMERCIAL;30-51649014-0;EX- -APN-SDYME#ENACOM 103689635/2019;JORGE STEPHESON;2711;          ;    ;1667;TORTUGUITAS;BUENOS AIRES;(03327)44  -4129;30-2564;0;12537 APN-DNAYRT#ENACOM/2019;12/12/2019;12/12/2022
PARKER HANNIFIN ARGENTINA SOCIEDAD ANONIMA INDUSTRIAL Y COMERCIAL;30-51649014-0;EX- -APN-SDYME#ENACOM 103689635/2019;TUCUMAN;1;4;    ;1049;CABA;CIUDAD DE BUENOS AIRES;(011  )4379-6800;30-2564;0;12537 APN-DNAYRT#ENACOM/2019;12/12/2019;12/12/2022
PASETTO, ALDO JORGE ROBERTO;20-06012691-8;;GORRITI;7101;          ;    ;S2007BRO;ROSARIO;SANTA FE;(0341 )457 -2420;30-1099;0;426 CN/1991;29/08/1991;29/08/1994
PAYWAY S.A.U.;30-71766440-6;EX- -APN-AASYST#ENACOM 986512/2026;LAVARDEN;247;          ;    ;1437;CABA;CIUDAD DE BUENOS AIRES;(011  )6695-1234;30-3066;0;932 APN-DNLAYR#ENACOM/2026;12/01/2026;12/01/2029
PC 14 SILICIA S.R.L.;30-71708346-2;EX- -APN-AASYST#ENACOM 9832022/2026;BENITO JUAREZ;5415;          ;    ;1650;VILLA LINCH;BUENOS AIRES;(011  )5465-7823;30-3073;0;5064 APN-DNLAYR#ENACOM/2026;26/02/2025;
PC-ARTS ARGENTINA S.A.;30-70860230-9;EXPCNC 7974/2008;TUCUMAN;2163;          ;    ;1050;CABA;CIUDAD DE BUENOS AIRES;(011  )5634-8175;30-3009;02-678;2639 APN-DNAYRT#ENACOM/2025;16/07/2025;16/07/2028
PC-ARTS ARGENTINA S.A.;30-70860230-9;EXPCNC 7974/2008;VIRREY DEL PINO;2458;8°        ;B   ;C1426EGR;CABA;CIUDAD DE BUENOS AIRES;(011  )3699-7102;30-3009;02-678;2639 APN-DNAYRT#ENACOM/2025;16/07/2025;16/07/2028
PEPPERL+FUCHS ARGENTINA S.R.L.;30-71068308-1;EX- -APN-SDYME#ENACOM 17830388/2017;MAIPU;267;13°       ;    ;1084;CABA;CIUDAD DE BUENOS AIRES;(011  )4415-9340;30-3000;0;924 APN-DNAYRT#ENACOM/2025;22/04/2025;22/04/2028
PEPPERL+FUCHS ARGENTINA S.R.L.;30-71068308-1;EX- -APN-SDYME#ENACOM 17830388/2017;PICO;1641;1º        ;B   ;1429;CABA;CIUDAD DE BUENOS AIRES;(011  )4843-7475;30-3000;0;924 APN-DNAYRT#ENACOM/2025;22/04/2025;22/04/2028
PERFORMANCE SPECIALTY PRODUCTS ARGENTINA S.A.U.;30-71554744-5;EX- -APN-SDYME#ENACOM 21162773/2019;BUTTY ENRIQUE ING.;240;11°       ;    ;1001;CABA;CIUDAD DE BUENOS AIRES;(011  )4429-1596;30-2510;0;5576 APN-DNAYRT#ENACOM/2019;29/04/2019;29/04/2022
PEUGEOT CITROËN ARGENTINA S.A.;30-50474453-8;EXPCNC 2491/2007;CARLOS PELLEGRINI;1023;14°       ;    ;C1009ABU;CABA;CIUDAD DE BUENOS AIRES;;30-2782;02-628;1419 APN-DNAYRT#ENACOM/2022;12/03/2022;12/03/2025
PEUGEOT CITROËN ARGENTINA S.A.;30-50474453-8;EXPCNC 2491/2007;PRESIDENTE JUAN D. PERON;1001;          ;    ;1682;VILLA BOSCH;BUENOS AIRES;(011  )4734-3271;30-2782;02-628;1419 APN-DNAYRT#ENACOM/2022;12/03/2022;12/03/2025
PFAHLER COMUNICACIONES S.A.;30-57161561-0;;SAN MARTIN;575;1;C   ;C1004AAK;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4322-7511;30-1009;0;21 CN/1991;11/01/1991;11/01/1994
PFIZER SOCIEDAD DE RESPONSABILIDAD LIMITADA;30-50351851-8;EX- -APN-REYS#ENACOM 87688385/2021;CARLOS BERG;3669;1º        ;    ;C1437BEM;CABA;CIUDAD DE BUENOS AIRES;(011  )2321-9650;30-2995;02-677;715 APN-DNAYRT#ENACOM/2025;10/03/2025;10/03/2028
PFIZER SOCIEDAD DE RESPONSABILIDAD LIMITADA;30-50351851-8;EX- -APN-REYS#ENACOM 87688385/2021;COLECTORA PANAMERICANA;1804;1;    ;1607;VILLA ADELINA;BUENOS AIRES;(011  )4788-7000;30-2995;02-677;715 APN-DNAYRT#ENACOM/2025;10/03/2025;10/03/2028
PHICOMS S.R.L.;30-68026642-1;EXPCNC 7885/2008;MAGARIÑOS CERVANTES ALEJANDRO;4944;          ;    ;C1407MLH;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4639-5673;30-1708;0;4586 GI/2011;31/10/2011;31/10/2014
PHILIPS ARGENTINA SOCIEDAD ANONIMA;30-50052723-0;EXPCNC E 5235/1998;VEDIA NICOLAS DE;3892;          ;    ;C1430DAL;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4546-7777;30-2602;0;7032 APN-DNLAYR#ENACOM/2026;27/04/2026;
PHILIPS DOMESTIC APPLIANCES ARGENTINA S.A.;30-71690107-2;EX- -APN-REYS#ENACOM 33079247/2022;AVDA. DEL LIBERTADOR;7208;2º        ;12;C1429BMS;CABA;CIUDAD DE BUENOS AIRES;(011  )5048-9953;30-2795;0;3321 APN-DNAYRT#ENACOM/2022;15/06/2022;15/06/2025
PHOENIX CONTACT S.A.;30-68149923-3;EXPCNC 3966/2006;CECILIA GRIERSON;255;8;    ;1107;CABA;CIUDAD DE BUENOS AIRES;;30-2654;0;4106 APN-DNAYRT#ENACOM/2020;10/10/2020;10/10/2023
PILISAR S.A.;33-70918084-9;EXPCNC 16921/2014;ROQUE PEREZ;3650;          ;    ;1430;CABA;CIUDAD DE BUENOS AIRES;(011  )4545-5100;30-2632;02-609;6204 APN-DNAYRT#ENACOM/2023;14/07/2023;14/07/2026
PINAMAR SOLEADO S.A.;30-69077229-5;;BRASIL;731;2;    ;C1154AAK;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-897;02-413;145 CN/1991;11/04/1991;11/04/1994
PIONEER INTERNATIONAL LATIN AMERICA S.A. SUCURSAL ARGENTINA;30-71208507-6;EXPENACOM 8663/2017;CIUDAD DE LA PAZ;1965;8;C   ;1428;CABA;CIUDAD DE BUENOS AIRES;(011  )5729-7312;30-2970;0;12624 APN-DNAYRT#ENACOM/2024;19/12/2024;19/12/2027
PIRELLI NEUMATICOS SOCIEDAD ANONIMA INDUSTRIAL Y COMERCIAL;33-50223253-9;EXPAFTIC 4671/2015;CARLOS PELLEGRINI;1265;9°        ;    ;C1009ABY;CABA;CIUDAD DE BUENOS AIRES;(011  )4489-6601;30-2142;02-555;575 DINAPTIC/2015;13/11/2015;13/11/2018
PIRELLI NEUMATICOS SOCIEDAD ANONIMA INDUSTRIAL Y COMERCIAL;33-50223253-9;EXPAFTIC 4671/2015;CERVANTES;1901;          ;    ;B1722NFO;MERLO;BUENOS AIRES;(011  )4489-6601;30-2142;02-555;575 DINAPTIC/2015;13/11/2015;13/11/2018
PISCINA NATURAL S.R.L.;30-71605740-9;EX- -APN-REYS#ENACOM 39733576/2021;12 DE OCTUBRE;4307;          ;    ;1879;QUILMES OESTE;BUENOS AIRES;(011  )3536-3802;30-2720;0;3107 APN-DNAYRT#ENACOM/2021;03/08/2021;03/08/2024
PISCINA NATURAL S.R.L.;30-71605740-9;EX- -APN-REYS#ENACOM 39733576/2021;CARLOS CALVO;3779;1;A   ;1229;CABA;CIUDAD DE BUENOS AIRES;(011  )00  -0000;30-2720;0;3107 APN-DNAYRT#ENACOM/2021;03/08/2021;03/08/2024
PIXART S.R.L.;30-70840824-3;EXPENACOM 10559/2017;INGENIERO HUERGO;1437;1;B   ;1107;CABA;CIUDAD DE BUENOS AIRES;(011  )4300-5900;30-2333;0;304 -APN-DNAYRT#ENACOM/2017;07/07/2017;17/01/2021
PLANEX S.A.;30-65998023-8;EXPCNC E 4043/1999;MADERO DOCTOR EDUARDO;1020;2;    ;C1106ACX;CABA;CIUDAD DE BUENOS AIRES;(011  )4315-3217;30-2996;0;716 APN-DNAYRT#ENACOM/2025;10/03/2025;10/03/2028
PLAZA FAN IMPORTACION Y DISTRIBUCION S.A.;30-69450040-0;EX- -APN-REYS#ENACOM 18361277/2023;CABILDO;702;11;1101;1426;CABA;CIUDAD DE BUENOS AIRES;(011  )6000-7677;30-2859;02-644;2558 -APN-DNAYRT#ENACOM/2023;22/03/2023;22/03/2026
PLW WORLD GROUP S.R.L.;30-70980446-0;EX- -APN-SDYME#ENACOM 55032545/2018;MEXICO;625;4;    ;1097;CABA;CIUDAD DE BUENOS AIRES;(011  )5252-7030;30-3029;0;621 APN-DNLAYR#ENACOM/2021;19/09/2025;19/09/2028
POLITRONICS S.A.;30-58345335-7;;CNEL. TOMAS DE ROCAMORA;4355;          ;    ;C1184ABG;CABA;CIUDAD DE BUENOS AIRES;(011  )9999-9999;30-501;02-238;48 GI/1982;01/01/1982;01/01/1985
POLYCOM TELECOMUNICACOES DO BRASIL LIMITADA;30-71049384-3;EXPCNC 5054/2010;LEANDRO N. ALEM;1110;13°       ;    ;C1001AAT;CABA;CIUDAD DE BUENOS AIRES;;30-2316;0;7587 APN-DNAYRT#ENACOM/2023;02/10/2023;02/10/2026
POLYTECH S.A.;33-64335874-9;EXPCNC 8536/2007;VIDAL CELESTINO;3850;          ;    ;C1429AHT;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4701-6220;30-1664;0;4728 GI/2007;16/10/2007;16/10/2010
POP CARGO S.R.L.;30-71588179-5;EX- -APN-SDYME#ENACOM 10108824/2020;PERU;367;12°       ;B   ;C1067AAG;CABA;CIUDAD DE BUENOS AIRES;(011  )5256-5230;30-2600;0;1354 APN-DNAYRT#ENACOM/2020;03/03/2020;03/03/2023
POSITIVO ARGENTINA S.R.L.;30-71573274-9;EX- -APN-SDYME#ENACOM 54047734/2019;GURRUCHAGA;830;5;    ;1414;CABA;CIUDAD DE BUENOS AIRES;(011  )4129-8811;30-2894;0;9755 APN-DNAYRT#ENACOM/2023;13/11/2023;13/11/2026
POSNET S.R.L.;30-62017749-7;EX- -APN-SDYME#ENACOM 21195343/2018;PERU;143;8;    ;C1067AAC;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4340-9800;30-3015;0;2632 APN-DNAYRT#ENACOM/2025;16/07/2025;16/07/2028
POSTHAC S.A.;30-70844708-7;EXPCNC 9730/2005;MAZA;1225;          ;    ;C1240ADA;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4931-6555;30-1556;0;4795 GI/2005;13/12/2005;13/12/2008
POSWARE SOLUTIONS GROUP S.R.L.;30-70856625-6;EXPCNC 4393/2004;MOREAU DE JUSTO ALICIA;740;1;19;C1107AAP;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4342-0066;30-1489;0;2422 GI/2004;20/07/2004;20/07/2007
POTENCO S.A.;30-71474460-3;EXPENACOM 6022/2017;MARCELO TORCUATO DE ALVEAR;1308;21;    ;C1058AAV;CABA;CIUDAD DE BUENOS AIRES;(011  )6091-8780;30-2305;0;87 -APN-DNAYRT#ENACOM/2017;21/04/2017;17/01/2021
POUYET ARGENTINA S.A.;30-66304333-8;EXPCNC E 3339/1997;LAVARDEN;143;          ;    ;C1437FBC;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4911-4664;30-1290;0;1020 GI/1997;02/06/1997;02/06/2000
POWERMETER S.A.S.;33-71597310-9;EX- -APN-REYS#ENACOM 74652113/2022;NEUQUEN;687;4;12;1405;CABA;CIUDAD DE BUENOS AIRES;(011  )6137-0947;30-2821;02-636;4675 APN-DNAYRT#ENACOM/2022;30/08/2022;30/08/2025
POYRY INFRA S.A.;30-70545159-8;;CARACAS;1634;          ;    ;1640;MARTINEZ;BUENOS AIRES;;30-896;02-412;4047 SU/1988;29/02/1988;28/02/1991
PREVENT GAS S.A.;33-71426914-9;EX- -APN-REYS#ENACOM 94609966/2025;SENILLOSA;1229;          ;    ;1424;CABA;CIUDAD DE BUENOS AIRES;(011  )4922-3804;30-3044;0;1007 APN-DNLAYR#ENACOM/2025;02/10/2025;02/10/2028
PRIMER OPERADOR PRIVADO INDEPENDIENTE ARGENTINA S.A.;30-69129692-6;EXPCNC 613/2002;JOSE ANTONIO CABRERA;5329;1;    ;C1414BGW;CABA;CIUDAD DE BUENOS AIRES;;30-1417;0;4128 GI/2009;01/12/2009;01/12/2012
PRIMER OPERADOR PRIVADO INDEPENDIENTE ARGENTINA S.A.;30-69129692-6;EXPCNC 613/2002;URIARTE;1225;          ;    ;C1414DAI;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1417;0;4128 GI/2009;01/12/2009;01/12/2012
PRIMERA RED INTERACTIVA DE MEDIOS ARGENTINOS (PRIMA) S.A.;33-68211565-9;EXPCNC 7323/2006;HORNOS GRAL;690;          ;    ;C1272ACL;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-2223;0;6596 -E-APN-ENACOM#MCO/2016;02/09/2016;02/09/2019
PRIMERA RED INTERACTIVA DE MEDIOS ARGENTINOS (PRIMA) S.A.;33-68211565-9;EXPCNC 7323/2006;MANSO JUANA;205;1;    ;C1107CBE;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-2223;0;6596 -E-APN-ENACOM#MCO/2016;02/09/2016;02/09/2019
PRIMOR DISTRIBUCIONES S.R.L.;30-71631286-7;EX- -APN-ALYAT#ENACOM 16183030/2026;SAN LORENZO;3298;          ;    ;1826;REMEDIOS DE ESCALADA;BUENOS AIRES;(011  )3319-6413;30-3079;0;6609 APN-DNLAYR#ENACOM/2026;14/04/2026;
PRIMOR DISTRIBUCIONES S.R.L.;30-71631286-7;EX- -APN-ALYAT#ENACOM 16183030/2026;TACUARI;237;          ;    ;1071;CABA;CIUDAD DE BUENOS AIRES;(011  )2172-4007;30-3079;0;6609 APN-DNLAYR#ENACOM/2026;14/04/2026;
PROCESSING DATA ARGENTINA S.A.;30-71194283-8;EX- -APN-REYS#ENACOM 133382351/2025;MAIPU;255;          ;    ;1414;CABA;CIUDAD DE BUENOS AIRES;(011  )4328-3995;30-3060;0;5988 APN-DNLAYR#ENACOM/2025;17/12/2025;17/12/2028
PROD S.A.;30-70700309-6;EXPCNC 1038/2006;ROOSEVELT FRANKLIN D;5322;3;A   ;C1431BZL;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;;30-1564;0;1073 GI/06;27/03/2006;27/03/2009
PRODUCIR INTEGRAL S.A.;30-71224270-8;EX- -APN-REYS#ENACOM 128795376/2025;MOREAU DE JUSTO ALICIA;1930;4;405;1107;CABA;CIUDAD DE BUENOS AIRES;(011  )3650-2158;30-3056;0;4498 -APN-DNLAYR#ENACOM/2025;02/12/2025;02/12/2028
PRODUCTOS ROCHE SOCIEDAD ANONIMA QUIMICA E INDUSTRIAL;30-52744428-0;EXPCNC 4814/2009;AVDA. LEANDRO N. ALEM;986;10°       ;    ;C1001AAR;CABA;CIUDAD DE BUENOS AIRES;;30-2641;0;7387 APN-DNAYRT#ENACOM/2023;05/09/2023;05/09/2026
PRODUCTOS ROCHE SOCIEDAD ANONIMA QUIMICA E INDUSTRIAL;30-52744428-0;EXPCNC 4814/2009;RAWSON;3150;          ;    ;B1610BAL;RICARDO ROJAS;BUENOS AIRES;(011  )5129-8374;30-2641;0;7387 APN-DNAYRT#ENACOM/2023;05/09/2023;05/09/2026
PROGEU ACCESORIOS DE PISCINAS S.R.L.;30-71192111-3;EXPENACOM 14501/2016;AZOPARDO;477;1;1;C1107ADE;CABA;CIUDAD DE BUENOS AIRES;(011  )4150-9395;30-2270;0;9422 -E-APN-ENACOM#MCO/2016;22/12/2016;22/12/2019
PROGEU ACCESORIOS DE PISCINAS S.R.L.;30-71192111-3;EXPENACOM 14501/2016;RUTA PROVINCIAL 40;KM 94,5;          ;    ;6605;NAVARRO;BUENOS AIRES;(011  )4150-9395;30-2270;0;9422 -E-APN-ENACOM#MCO/2016;22/12/2016;22/12/2019
PROMAX S.R.L.;30-61553068-5;;VIEDMA;712;PB        ;    ;X5016CMP;CORDOBA;CORDOBA;;30-909;02-419;4003 CN/1992;29/10/1992;29/10/1995
PROPATO HERMANOS S.A.I.C.;30-55425869-3;EX- -APN-REYS#ENACOM 18113321/2020;LARREA;1381;          ;    ;C1117ABK;CABA;CIUDAD DE BUENOS AIRES;(011  )5556-8800;30-2622;0;2602 APN-DNAYRT#ENACOM/2020;20/06/2020;20/06/2023
PROPATO HERMANOS S.A.I.C.;30-55425869-3;EX- -APN-REYS#ENACOM 18113321/2020;RODRIGUEZ PEÑA;2169;          ;    ;1676;SANTOS LUGARES;BUENOS AIRES;(011  )5556-8800;30-2622;0;2602 APN-DNAYRT#ENACOM/2020;20/06/2020;20/06/2023
PROSEGUR ACTIVA ARGENTINA S.A.;30-70977656-4;EX- -APN-REYS#ENACOM 47562635/2021;TRES ARROYOS;2835;          ;    ;C1416DDU;CABA;CIUDAD DE BUENOS AIRES;(011  )4430-0109;30-2716;0;7318 APN-DNAYRT#ENACOM/2024;06/08/2024;06/08/2027
PROTEK SEGURIDAD ELECTRONICA GLOBAL S.A.;30-69919130-9;EXPCNC E 6843/2000;BACACAY;2870;          ;    ;C1406GDZ;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4637-1444;0;02-374;9685 GI/2000;01/09/2000;01/09/2003
PROWAY S.A.;30-67771451-0;EXPCNC E 7538/1998;ROSETI CNEL MANUEL;1620;          ;    ;C1427BWH;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )4555-3666;30-1322;0;3098 GI/1998;30/07/1998;30/07/2001
PROYECCIONES DIGITALES S.A.;30-68728975-3;EXPCNC 5127/2010;CORRIENTES;1386;11;1102;C1043ABN;CIUDAD AUTONOMA BUENOS AIRES;CIUDAD DE BUENOS AIRES;(011  )5353-1110;30-1932;0;2911 GI/2013;12/08/2013;12/08/2016
PROYESCO S.A.;30-61137374-7;EX- -APN-SDYME#ENACOM 21423898/2019;AVDA. BELGRANO;1680;PB        ;B   ;C1093AAR;CABA;CIUDAD DE BUENOS AIRES;(011  )4313-8094;30-2509;0;5577 APN-DNAYRT#ENACOM/2019;29/04/2019;29/04/2022
PSIAR S.A.;30-66319469-7;EXPCNC E 11773/1999;AVENIDA DE MAYO;963;3;9;C1084AAE;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;(011  )4345-2351;30-1353;0;4641 GI/1999;15/10/1999;15/10/2002
PST ELETRONICA LTDA.;30-70200395-0;EXPCNC 10823/2013;CORONEL CETZ;166;          ;    ;B1642AGD;SAN ISIDRO;BUENOS AIRES;(011  )4700-0051;30-2569;0;5769 APN-DNLAYR#ENACOM/2025;16/12/2025;16/12/2028
PST ELETRONICA LTDA.;30-70200395-0;EXPCNC 10823/2013;LAMARCA EMILIO;4678;PB        ;    ;C1419ASJ;CABA;CIUDAD DE BUENOS AIRES;;30-2569;0;5769 APN-DNLAYR#ENACOM/2025;16/12/2025;16/12/2028
Q.B. S.A.;30-67794711-6;;PIEDRAS;575;1;I   ;C1070AAK;CIUDAD DE BUENOS AIRES;CAPITAL FEDERAL;;30-1049;0;225 CN/1991;24/05/1991;24/05/1994
QISUR LED S.R.L.;30-71577478-6;EX- -APN-REYS#ENACOM 40299017/2024;BOGOTA;985;1;101;1640;MARTINEZ;BUENOS AIRES;(011  )6474-0120;30-2934;02-663;4328 APN-DNAYRT#ENACOM/2024;06/05/2024;06/05/2027
QMAX S.R.L.;33-70824884-9;EXPCNC 2221/2008;SILVINO OLIVIERI;235;          ;    ;C1407AZC;CABA;CIUDAD DE BUENOS AIRES;(011  )4671-5353;30-2405;02-588;933 APN-DNAYRT#ENACOM/2020;24/01/2020;24/01/2023
