empresa,cuit,telefono,localidad,provincia,tel_util
IFM ELECTRONIC S.R.L.,30-71045716-2,(011  )3219-0101,CABA,CIUDAD DE BUENOS AIRES,si
IFRANET S.A.,30-71471046-6,(03489)43  -1758,CAMPANA,BUENOS AIRES,si
IGARRETA MAQUINAS S.A.,30-68244000-3,(011  )4846-4400,DON TORCUATO,BUENOS AIRES,si
IGT GLOBAL SOLUTIONS CORPORATION,30-61593482-4,(011  )4382-2128,CABA,CIUDAD DE BUENOS AIRES,si
IMAGEN E INFORMACION S.A.,30-70797372-9,(011  )4342-4742,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
IMAGINARIAS S.R.L.,30-70757833-1,(011  )4313-1448,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
IMCO S.A.,30-62967426-4,(011  )4326-4473,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
IMPEX TELECOMMUNICATIONS ARGENTINA S.A.,30-71046901-2,(011  )4904-0457,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
IMPORLATINA S.A.,30-63613427-5,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
IMPORTADORA MEDITERRANEA SOCIEDAD ANONIMA,30-64202042-7,(0351 )489 -0576,CORDOBA,CORDOBA,si
IMPORTADORA TECNOLOGICA S.A.,30-64348959-3,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
IMPORTADORA TEMPO S.A.,30-63366062-6,(011  )4375-2845,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
IMPORTADORA Y EXPORTADORA ORIENTE S.A.,33-71069802-9,(011  )4367-5745,MONTE GRANDE,BUENOS AIRES,si
INC S.A.,30-68731043-4,,CABA,CIUDAD DE BUENOS AIRES,no
INCHCAPE ARGENTINA S.A.,30-69558584-1,,DON TORCUATO,BUENOS AIRES,no
INCOBE S.R.L.,30-59653682-0,(011  )4931-7999,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
INCUBE S.A.,30-70815758-5,(0221 )417 -7702,LA PLATA,BUENOS AIRES,si
INDELMEC S.R.L.,30-58519161-9,(011  )4856-2909,CABA,CIUDAD DE BUENOS AIRES,si
INDRA AMERICA S.A.,30-60156992-9,(011  )4316-2000,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
INDRA SI S.A.,30-69313376-5,(011  )4400-1676,CABA,CIUDAD DE BUENOS AIRES,si
INDUSTRIA FUEGUINA DE RELOJERIA ELECTRONICA S.A.,30-59553463-8,(011  )5282-7400,RIO GRANDE,"TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR",si
INDUSTRIAL & NAVAL GROUP S.A.,30-71014050-9,,CABA,CIUDAD DE BUENOS AIRES,no
INDUSTRIAS ITACEN SOCIEDAD ANONIMA,30-71134881-2,(011  )5272-7000,HERNANDEZ,BUENOS AIRES,si
INDUSTRIAS JOHN DEERE ARGENTINA SOCIEDAD ANONIMA,30-50372023-6,(011  )4515-9201,CABA,CIUDAD DE BUENOS AIRES,si
INDUSTRIAS QUIMICAS ESSEN S.R.L.,30-67622650-4,(011  )4238-0082,BURZACO,BUENOS AIRES,si
INDUSTRIAS SICA S.A.I.C.,30-50289158-4,,LANUS,BUENOS AIRES,no
INDUSTRIAS UNICAS DE COMUNICACIONES S.R.L.,30-70813441-0,(011  )4919-5098,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
INDYCO S.R.L.,30-62005780-7,(011  )4612-5524,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
INFAS S.R.L.,33-61105269-9,(0351 )465 -0128,CORDOBA,CORDOBA,si
INFORMATICA FUEGUINA S.A.,30-71158891-0,(011  )4309-2014,CABA,CIUDAD DE BUENOS AIRES,si
INFORMATICA Y TELECOMUNICACIONES S.A.,33-61583160-9,,MENDOZA,MENDOZA,no
INFORMATION TECHNOLOGY S.A.,30-70938883-1,(011  )4770-9490,CORDOBA,CORDOBA,si
INFOSELL S.A.,30-66029179-9,(011  )4326-3380,MONTE GRANDE,BUENOS AIRES,si
INFOTEL ARGENTINA S.A.,30-70089334-7,,CABA,CIUDAD DE BUENOS AIRES,no
INGEFOT S.A.,30-64108517-7,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
INGENICO DO BRASIL LIMITADA SUCURSAL ARGENTINA,30-70718565-8,(011  )4394-1046,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
INGENIERIA COMERCIAL S.R.L.,30-71210288-4,,CABA,CIUDAD DE BUENOS AIRES,no
INGENIERIA OBRAS Y SERVICIOS TISICO S.A.,30-69138027-7,,CABA,CIUDAD DE BUENOS AIRES,no
INGENIERO JORGE CESETTI S.R.L.,30-70926793-7,(0299 )442 -5377,NEUQUEN,NEUQUEN,si
INGENIEROS ELECTRONICOS ASOCIADOS S.R.L.,33-62704588-9,,CABA,CIUDAD DE BUENOS AIRES,no
INGEPAR S.R.L.,30-67135211-0,(0371 )43  -3475,FORMOSA,FORMOSA,si
INGRAM MICRO ARGENTINA S.A.,30-70200470-1,(011  )4909-9100,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
INGYTEC S.R.L.,30-60032144-3,(011  )4683-6657,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
INHAR INGENIERIA HOSPITALARIA S.A.,30-70829083-8,(011  )5263-0920,BECCAR,BUENOS AIRES,si
INITIUM S.R.L.,30-71486732-2,(011  )6196-5950,HURLINGHAM,BUENOS AIRES,si
INLITES S.A.,30-70846590-5,(011  )4717-5200,CABA,CIUDAD DE BUENOS AIRES,si
INNER S.R.L.,30-67609840-9,(011  )4637-4518,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
INSIGHT GROUP S.A.,30-71173813-0,(011  )5464-4100,CABA,CIUDAD DE BUENOS AIRES,si
INSTAL ELECTRIC TELECOMUNICACIONES S.A.,30-70925941-1,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
INSUMOS PARA PC S.R.L.,30-71061567-1,(0351 )678 -8390,CORDOBA,CORDOBA,si
INTAFACE INTERNATIONAL S.A.,30-70757570-7,(011  )4901-6660,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
INTCOMEX ARGENTINA S.R.L.,30-70715140-0,(011  )4016-6100,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
INTEC S.R.L.,30-62923314-4,,CABA,CIUDAD DE BUENOS AIRES,no
INTEGRATED OUTSOURCING SERVICES S.A.,33-70050068-9,(011  )4815-6302,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
INTEL SOFTWARE DE ARGENTINA S.A.,30-70944960-1,(011  )5898-8905,VICENTE LOPEZ,BUENOS AIRES,si
INTELAV S.R.L.,30-63584291-8,(011  )4591-8566,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
INTELBRAS S.A. INDUSTRIA DE TELECOMUNICACAO ELECTRONICA BRASILEIRA,30-70701809-3,(011  )4382-2041,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
INTEMA COMUNICACIONES S.A.,33-70859408-9,,CABA,CIUDAD DE BUENOS AIRES,no
INTEPLA S.R.L.,30-59165868-5,(0221 )425 -6565,LA PLATA,BUENOS AIRES,si
INTER-SYSTEMS S.A.,30-66164328-1,(011  )4314-3800,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
INTERCONNECT S.A.,33-68825614-9,(011  )5578-3033,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
INTERISA ARGENTINA S.A.,30-67789562-0,(011  )4793-4061,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
INTERLAMP S.A.,30-64143264-0,(011  )4581-5577,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
INTERNATIONAL OPERATION S.R.L.,30-70791081-6,(011  )4922-4801,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
INTERNET POP MEDIA S.A.,30-71231700-7,(011  )5368-0540,CABA,CIUDAD DE BUENOS AIRES,si
INTERTECNO S.R.L.,30-68586315-0,(011  )4383-4714,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
INTERTEL S.R.L.,30-61010510-2,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
INTERVET ARGENTINA S.A.,30-69137338-6,(011  )6090-7000,CABA,CIUDAD DE BUENOS AIRES,si
INTERWAVE S.A.,30-71488371-9,(011  )4621-4749,CABA,CIUDAD DE BUENOS AIRES,si
INVITROGEN ARGENTINA S.A.,30-70724875-7,(011  )4556-2808,CABA,CIUDAD DE BUENOS AIRES,si
IR COMUNICACIONES S.A.,30-59607351-0,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
IRAOLA TECNOLOGIA SALUD S.R.L.,33-71600139-9,(011  )4952-9800,CABA,CIUDAD DE BUENOS AIRES,si
IRET ELECTRONICA S.R.L.,30-64274793-9,(0221 )482 -6962,LA PLATA,BUENOS AIRES,si
IRIDIUM ARGENTINA S.A.,30-68150446-6,(011  )4310-2200,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
IRION S.A.,30-69558409-8,(011  )4703-0200,CABA,CIUDAD DE BUENOS AIRES,si
IRRI-AR S.A.,30-70978189-4,(011  )4345-0550,CABA,CIUDAD DE BUENOS AIRES,si
ISIADEN S.A.,30-68845494-4,(011  )4686-1071,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
"ISOLA, JUAN CARLOS",20-04629813-7,(011  )4544-7721,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ISREX S.A.,30-67778469-1,(011  )4958-3730,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ISUZU VEHICULOS COMERCIALES DE ARGENTINA S.A.,30-71057436-3,(011  )4854-1189,BANFIELD,BUENOS AIRES,si
IT LATINOAMERICA S.A.,30-70840712-3,(011  )4372-9579,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ITALTEL ARGENTINA S.A.,30-63204322-4,(011  )4316-6800,CABA,CIUDAD DE BUENOS AIRES,si
ITALTEL SIT S.P.A.,30-59496377-2,(011  )4911-0736,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ITAUTEC.COM SERVICOS S.A.,30-68835820-1,(011  )5239-0060,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
ITEON TECH S.A.S.,30-71640286-6,,CABA,CIUDAD DE BUENOS AIRES,no
ITM ARGENTINA S.A.,30-69684711-4,(011  )5317-6657,CABA,CIUDAD DE BUENOS AIRES,si
ITRON ARGENTINA S.A.,30-70776631-6,,CABA,CIUDAD DE BUENOS AIRES,no
ITT BORNEMANN-GOULDS PUMPS S.R.L.,30-59801999-8,(011  )5721-2591,MUNRO,BUENOS AIRES,si
ITURAN DE ARGENTINA S.A.,30-70089662-1,(011  )4892-1400,CABA,CIUDAD DE BUENOS AIRES,si
ITURAN ROAD TRACK ARGENTINA S.A.,30-71503736-6,(011  )5280-0300,FLORIDA OESTE,BUENOS AIRES,si
J.M.P. COMUNICACIONES S.R.L.,30-69197716-8,(0297 )448 -4614,COMODORO RIVADAVIA,CHUBUT,si
J.T. ARGENTINA S.A.,30-69213614-0,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
JAEJ S.A.,30-60656652-9,(011  )4717-1011,MARTINEZ,BUENOS AIRES,si
JARSE INDUSTRIAL Y COMERCIAL SOCIEDAD ANONIMA,30-70927346-5,(011  )4308-1838,CABA,CIUDAD DE BUENOS AIRES,si
JENCK S.A.,30-63288438-5,,CABA,CIUDAD DE BUENOS AIRES,no
JOHNSON & JOHNSON MEDICAL S.A.,30-59849850-0,(011  )4708-6765,CABA,CIUDAD DE BUENOS AIRES,si
JOHNSON CONTROLS BE ARGENTINA S.R.L.,30-57454003-4,(011  )4706-7976,CABA,CIUDAD DE BUENOS AIRES,si
JORDACHE ARGENTINA S.A.,33-62804738-9,(011  )4581-1577,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
JP SERVICIOS S.A.,30-69995303-9,(011  )5219-4861,CABA,CIUDAD DE BUENOS AIRES,si
JUAN DEBERNARDI S.R.L.,30-60422370-5,(011  )4962-8442,CABA,CIUDAD DE BUENOS AIRES,si
JUEGOS DE VIDEO ARGENTINA S.R.L.,30-71545457-9,(011  )5367-4362,CABA,CIUDAD DE BUENOS AIRES,si
JUKEBOX S.A.,30-71010577-0,(011  )4958-9800,CABA,CIUDAD DE BUENOS AIRES,si
JUKI S.A.C.I.F.I.A.,33-52328758-9,(011  )4653-5714,RAMOS MEJIA,BUENOS AIRES,si
JUMBO RETAIL ARGENTINA S.A.,30-70877296-4,(011  )4733-1000,CABA,CIUDAD DE BUENOS AIRES,si
JUNIPER NETWORKS ARGENTINA S.R.L.,30-71433664-5,(011  )5383-3544,CABA,CIUDAD DE BUENOS AIRES,si
JUNIPER NETWORKS MEXICO S.A. DE C.V.,30-70840548-1,(011  )4310-2200,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
K.M.G. FUEGUINA S.A.,30-71189252-0,(011  )5282-7400,RIO GRANDE,"TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR",si
K.R.M. INGENIERIA S.A.C.I.A.F.S.,30-57807760-6,(011  )5666-5625,CABA,CIUDAD DE BUENOS AIRES,si
KANSAI S.R.L.,33-68579955-9,(011  )4322-5513,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
KAPSCH TRAFFICCOM TRANSPORTATION ARGENTINA S.A.,30-70705148-1,(011  )4775-0203,CABA,CIUDAD DE BUENOS AIRES,si
KARCHER S.A.,30-71098851-6,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
KARL STORZ ENDOSCOPIA ARGENTINA S.A.,30-67820498-2,(011  )4718-0919,CABA,CIUDAD DE BUENOS AIRES,si
KELCOM S.R.L.,30-71110764-5,(011  )4542-9664,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
KEYTECH S.A.,30-60747569-1,(011  )4796-1211,VICENTE LOPEZ,BUENOS AIRES,si
KEYTEL S.R.L.,33-65007479-9,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
KIA ARGENTINA S.A.,30-70753507-1,(011  )4719-7722,CABA,CIUDAD DE BUENOS AIRES,si
KINGVOX INDUSTRIAL Y COMERCIAL S.R.L.,30-50469372-0,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
KM OFFICE SOLUTIONS S.A.,30-70757787-4,(011  )4300-8500,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
KODAK ALARIS S.A.I.C.,33-71423088-9,(011  )3160-0698,SAN ISIDRO,BUENOS AIRES,si
KODAK ARGENTINA S.A.I.C.,30-52564969-1,(011  )4773-6105,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
KOE S.A.,30-70955430-8,,SAN FRANCISCO (DPTO. SAN JUSTO),CORDOBA,no
KOLKE ARGENTINA S.A.,30-70894948-1,(011  )4304-8222,CABA,CIUDAD DE BUENOS AIRES,si
KOMBI ELECTRONICA S.A.,30-56963489-6,(011  )3972-9238,CABA,CIUDAD DE BUENOS AIRES,si
KOMPUSUR S.A.,30-60933119-0,(011  )4114-9900,CABA,CIUDAD DE BUENOS AIRES,si
KOPY RIGHT S.R.L.,30-63611773-7,(011  )4551-6016,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
KORES S.A.,33-52532069-9,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
"KRIKORIAN, AVAK ARMEN",20-14011197-0,(011  )4322-5774,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
KRONE COMUNICACIONES S.A.,33-68896621-9,(011  )4302-2121,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
KRONEN INTERNACIONAL S.A.,30-60451400-9,(011  )4489-4470,CABA,CIUDAD DE BUENOS AIRES,si
KSB COMPAÑIA SUDAMERICANA DE BOMBAS S.A.,33-50142415-9,(011  )4044-4572,CABA,CIUDAD DE BUENOS AIRES,si
KYNDRYL ARGENTINA S.A.,30-71707223-1,(011  )5286-6581,CABA,CIUDAD DE BUENOS AIRES,si
L.I.E. LABORATORIO DE INGENIERIA ELECTRONICA S.R.L.,30-64927024-0,(011  )5218-4233,CABA,CIUDAD DE BUENOS AIRES,si
LA CASA DEL CALCULO ELECTRONICO,30-60037033-9,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
LA EMILIA S.A.,30-63916908-8,,CABA,CIUDAD DE BUENOS AIRES,no
LA INDUSTRIAL ELECTRICA S.A.,30-64561473-5,(011  )5009-7041,CABA,CIUDAD DE BUENOS AIRES,si
LABORATORIO DE TELECOMUNICACIONES S.A.,30-70308044-4,(011  )4011-9200,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
LABORATORIOS ALVEAR S.A.,30-71181638-7,(011  )4308-4474,CABA,CIUDAD DE BUENOS AIRES,si
LADE PROFESIONAL S.A.,30-61160581-8,(011  )4639-8939,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
LAS TRES VICTORIAS S.A.,30-61661640-0,(0223 )42  -0443,MAR DEL PLATA,BUENOS AIRES,si
LATINOTCA.COM S.A.,30-70834665-5,(011  )4373-2226,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
LE ALPI S.A.,30-58987023-5,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
LEANVAL SOCIEDAD ANONIMA,30-59947912-7,(011  )6700-9481,RIO GRANDE,"TIERRA DEL FUEGO, ANTARTIDA E ISLAS DEL ATLANTICO SUR",si
LEDVANCE S.A.,30-50091427-7,(011  )3754-8037,CABA,CIUDAD DE BUENOS AIRES,si
LEMMUK S.A.,30-70154340-4,,MONTE GRANDE,BUENOS AIRES,no
"LENOVO (SPAIN), S.L. SUCURSAL ARGENTINA",30-70923764-7,(011  )5070-5395,MARTINEZ,BUENOS AIRES,si
LENOVO ARGENTINA S.R.L.,30-71473138-2,(011  )4836-7800,CABA,CIUDAD DE BUENOS AIRES,si
LEXMARK INTERNATIONAL DE ARGENTINA INC.,30-68146634-3,(011  )4319-8900,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
LEXZAR MOBILE S.A.,30-70942203-7,(011  )4808-9300,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
"LEYRIA, FERNANDO GABRIEL",20-24318185-3,(0351 )576 -0122,CORDOBA,CORDOBA,si
LG ELECTRONICS ARGENTINA S.A.,30-70728048-0,(011  )3411-5170,CABA,CIUDAD DE BUENOS AIRES,si
LGS REPRESENTACIONES S.R.L.,30-71071211-1,(011  )4325-1774,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
LIEFRINK Y MARX S.A.,30-54001929-7,(011  )4856-4747,CABA,CIUDAD DE BUENOS AIRES,si
LIGURE S.R.L.,30-70906120-4,(011  )4861-2741,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
LILUS S.A.,30-70901764-7,(011  )4373-4578,CABA,CIUDAD DE BUENOS AIRES,si
LIMANSKY S.A.,30-52162910-6,(011  )5219-1519,CABA,CIUDAD DE BUENOS AIRES,si
LION VENTURES S.A.,30-71243200-0,(011  )5311-7555,CABA,CIUDAD DE BUENOS AIRES,si
LITION SOFT S.A.,30-70837679-1,(011  )5246-0000,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
LJV S.A.,30-71211392-4,(011  )4584-4699,CABA,CIUDAD DE BUENOS AIRES,si
LOGI-NET S.A.,30-70871370-4,(011  )4568-6342,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
LOGITECH ARGENTINA S.R.L.,30-71234378-4,(011  )4559-3103,CABA,CIUDAD DE BUENOS AIRES,si
LOGOTEC S.A.,33-58307108-9,(011  )4774-1492,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
LOJACK ARGENTINA IMPORTADORA E INSTALADORA S.A.,30-68253084-3,(011  )4313-0066,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
LQNET S.A.,33-71032510-9,(011  )2150-4153,CABA,CIUDAD DE BUENOS AIRES,si
LRC MICROONDAS S.R.L.,30-64450342-5,,CORDOBA,CORDOBA,no
LT ZERO S.R.L.,30-71094044-0,(011  )6373-6807,CABA,CIUDAD DE BUENOS AIRES,si
LUCENT TECHNOLOGIES S.A. ARGENTINA,33-64257998-9,(011  )4340-8600,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
LUIS G. LEDESMA COMUNICACIONES S.A.,30-67918948-0,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
LUMENAC S.A.,30-60116615-8,,CABA,CIUDAD DE BUENOS AIRES,no
LUMINATEC S.R.L.,30-71622761-4,(011  )3088-1999,CABA,CIUDAD DE BUENOS AIRES,si
LÜSQTOFF ARGENTINA S.A.,30-71207115-6,(011  )6146-8386,RAMOS MEJIA,BUENOS AIRES,si
LUZEN S.R.L.,30-70991007-4,(011  )4371-6119,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
LYFORT MERCANTILE S.R.L.,30-64195142-7,(011  )4543-4788,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
LYNSA S.A.,30-68007780-7,(011  )4785-5475,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
M. ROZENBAUM E HIJOS S.A.I.C.E.I.,30-53746454-9,(011  )4844-1488,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
M.S.A. MAGIC SOFTWARE ARGENTINA S.A.,30-68237992-4,(011  )2469-9087,CABA,CIUDAD DE BUENOS AIRES,si
M31 ELECTRONICA S.R.L.,30-64539832-3,,CABA,CIUDAD DE BUENOS AIRES,no
MACH ELECTRONICS S.A.,30-68258089-1,(011  )4532-9229,CABA,CIUDAD DE BUENOS AIRES,si
MACH S.R.L.,30-60455839-1,,CABA,CIUDAD DE BUENOS AIRES,no
MACOR INSUMOS HOSPITALARIOS S.R.L.,33-66036317-9,(011  )4551-3233,CABA,CIUDAD DE BUENOS AIRES,si
MACROTEL S.A.,30-61706493-2,(011  )4327-0101,CABA,CIUDAD DE BUENOS AIRES,si
MADERFOZ S.A.,30-61764370-3,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
MADITEL S.A.,30-65485646-6,(011  )4311-2120,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
"MAGAN, ELSA BEATRIZ",27-06138467-2,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
MAGLIO ROBERTO HORACIO E HIJO S.C.C.,30-62357034-3,(011  )4361-0942,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
MAGNETI MARELLI REPUESTOS S.A.,30-70757013-6,,CABA,CIUDAD DE BUENOS AIRES,no
MAGRI TELEFONIA S.R.L.,30-62888288-2,(011  )5353-7741,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
MAKITA HERRAMIENTAS ELECTRICAS DE ARGENTINA S.A.,30-69291647-2,(0230 )444 -1100,PILAR,BUENOS AIRES,si
MAR MAQUINARIAS S.A.,30-67777497-1,(011  )4710-0100,BOULOGNE SUR MER,BUENOS AIRES,si
MARCONI COMMUNICATIONS ARGENTINA S.A.,30-70474466-4,(011  )4322-5300,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
MARCONI RADIO S.R.L.,30-61521663-8,,OLIVOS,BUENOS AIRES,no
MARED II S.R.L.,33-68902160-9,,CORDOBA,CORDOBA,no
MARKEM-IMAJE S.A.,30-52815043-4,(011  )5280-3660,GENERAL PACHECO,BUENOS AIRES,si
MARKETING INTELLIGENCE S.A.,30-71112379-9,(011  )4711-8986,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
MARKETRONICS DE ARGENTINA S.A.,30-70735628-2,(011  )4303-2221,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
MARKETRONICS S.A.,30-59900603-2,,CAPITAL FEDERAL,CIUDAD DE BUENOS AIRES,no
MARPATECH S.A.C.,30-71150544-6,,MORON,BUENOS AIRES,no
MARTINIANO ROMERO S.A.,30-59710334-0,(011  )4343-5619,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
MASNET S.A.,30-71026798-3,(011  )4553-5900,CABA,CIUDAD DE BUENOS AIRES,si
MASSALIN PARTICULARES SOCIEDAD DE RESPONSABILIDAD LIMITADA,33-50060698-9,(011  )5957-3006,MERLO,BUENOS AIRES,si
MASUE S.A.,30-63520132-7,,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,no
MATEC MEDICION S.R.L.,30-70991633-1,(011  )4554-5243,CABA,CIUDAD DE BUENOS AIRES,si
MATERTEL S.A.,30-52038833-4,(011  )4573-6700,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
MATYCA S.A.,30-70845459-8,,MENDOZA,MENDOZA,no
MAURO COMUNICACIONES S.C.A.,30-55177487-9,,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,no
MAX PRECISION S.A.,30-62964854-9,(011  )4783-0517,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
MAXIFON S.A.,30-68209834-8,(011  )4305-0576,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
MAYCAR SOCIEDAD ANONIMA,30-61286533-3,(011  )4829-1200,CABA,CIUDAD DE BUENOS AIRES,si
MCAFEE ARGENTINA S.A.,30-69232347-1,(011  )4515-4200,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD DE BUENOS AIRES,si
MED-EL LATINO AMERICA S.R.L.,30-69620881-2,(011  )4954-0404,CABA,CIUDAD DE BUENOS AIRES,si
"MEDEROS, JUAN CLAUDIO",20-14182601-9,(011  )4961-1827,CIUDAD DE BUENOS AIRES,CAPITAL FEDERAL,si
MEDIATEL S.A.,30-69153550-5,,OLIVOS,BUENOS AIRES,no
MEDICAL FLOW SOLUTIONS S.A.,30-70998136-2,(011  )5031-1500,CABA,CIUDAD DE BUENOS AIRES,si
"MEDINA RIVERO, ROBERTO WALDO",20-12939030-2,(011  )4470-1461,CABA,CIUDAD DE BUENOS AIRES,si
MEDITECNA S.R.L.,30-66127835-4,,CABA,CIUDAD DE BUENOS AIRES,no
"MEDTRONIC LATIN AMERICA, INC.",30-66004264-0,,CABA,CIUDAD DE BUENOS AIRES,no
